positif,sembuh,meninggal,total_kasus,risk_score,kecamatan_positif_mean,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,dirawat,active_cases,positif,sembuh,meninggal
3,0,1,3,0.2171925566083699,9.666666666666666,0.3103448275862069,14.684014869888475,20.817843866171003,53.71747211895911,0,0,3,0,1
6,0,0,6,-0.553868215843852,9.125,0.6575342465753424,31.970260223048324,20.817843866171003,20.63197026022305,2,2,6,0,0
13,0,3,13,0.38417254551701224,11.428571428571429,1.1375,68.21561338289963,20.817843866171003,86.61710037174721,4,4,13,0,3
2,0,0,2,-0.7171378302704404,9.666666666666666,0.20689655172413796,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0
3,0,1,3,0.23712570751913722,2.8181818181818183,1.064516129032258,14.684014869888475,20.817843866171003,53.71747211895911,2,2,3,0,1
0,0,0,0,-0.818705788394502,2.8181818181818183,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
2,0,0,2,-0.7171378302704404,2.8181818181818183,0.7096774193548386,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0
1,0,0,1,-0.7778883847878548,13.428571428571429,0.07446808510638298,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
3,0,2,3,1.140605266246684,2.8181818181818183,1.064516129032258,14.684014869888475,20.817843866171003,74.53531598513011,1,1,3,0,2
5,0,1,5,-0.056584514396124476,6.625,0.7547169811320755,24.721189591078065,20.817843866171003,53.71747211895911,1,1,5,0,1
2,0,0,2,-0.7171378302704404,6.625,0.3018867924528302,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0
10,0,1,10,-0.06673188388546611,13.571428571428571,0.7368421052631579,57.249070631970255,20.817843866171003,53.71747211895911,7,7,10,0,1
0,0,0,0,-0.818705788394502,0.3333333333333333,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
1,0,0,1,-0.7778883847878548,0.3333333333333333,3.0,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
0,0,0,0,-0.818705788394502,0.3333333333333333,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
0,0,0,0,-0.818705788394502,3.0,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
9,0,0,9,-0.4513491559346782,3.0,3.0,52.41635687732342,20.817843866171003,20.63197026022305,0,0,9,0,0
1,0,0,1,-0.7778883847878548,6.625,0.1509433962264151,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
3,1,0,3,-0.6763204266637933,6.125,0.4897959183673469,14.684014869888475,55.20446096654275,20.63197026022305,2,2,3,1,0
1,0,0,1,-0.7778883847878548,2.8181818181818183,0.3548387096774193,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
0,0,0,0,-0.818705788394502,3.0,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
30,5,5,30,4.251175041726832,30.0,1.0,96.6542750929368,97.39776951672863,97.95539033457248,340,340,30,5,5
30,5,5,30,5.1880331345328985,30.0,1.0,96.6542750929368,97.39776951672863,97.95539033457248,434,434,30,5,5
30,5,3,30,0.8094156409797777,16.8,1.7857142857142856,96.6542750929368,97.39776951672863,86.61710037174721,13,13,30,5,3
17,5,0,17,-0.12480992708150157,5.8,2.931034482758621,80.85501858736059,97.39776951672863,20.63197026022305,0,0,17,5,0
30,5,5,30,0.9921048678163636,16.714285714285715,1.7948717948717947,96.6542750929368,97.39776951672863,97.95539033457248,13,13,30,5,5
30,5,4,30,0.8608939525765359,25.0,1.2,96.6542750929368,97.39776951672863,93.12267657992564,9,9,30,5,4
30,5,1,30,0.5968266877770404,14.0,2.142857142857143,96.6542750929368,97.39776951672863,53.71747211895911,10,10,30,5,1
29,5,4,29,0.912408409636171,17.714285714285715,1.6370967741935483,92.56505576208178,97.39776951672863,93.12267657992564,17,17,29,5,4
30,5,5,30,0.9622051414502125,16.8,1.7857142857142856,96.6542750929368,97.39776951672863,97.95539033457248,10,10,30,5,5
30,1,5,30,0.9821382923609799,15.166666666666666,1.978021978021978,96.6542750929368,55.20446096654275,97.95539033457248,12,12,30,1,5
30,2,5,30,1.0718374714594332,17.714285714285715,1.693548387096774,96.6542750929368,76.2081784386617,97.95539033457248,21,21,30,2,5
25,5,3,25,0.6402022400867506,15.2,1.6447368421052633,90.33457249070632,97.39776951672863,86.61710037174721,11,11,25,5,3
18,5,2,18,0.27032239852970746,12.5,1.44,83.08550185873605,97.39776951672863,74.53531598513011,5,5,18,5,2
21,4,2,21,0.3791769007547079,13.571428571428571,1.5473684210526315,87.73234200743495,93.68029739776952,74.53531598513011,8,8,21,4,2
30,5,3,30,0.8492819428013124,25.0,1.2,96.6542750929368,97.39776951672863,86.61710037174721,17,17,30,5,3
11,5,1,11,-0.10065952485163561,7.6,1.4473684210526316,61.152416356877325,97.39776951672863,53.71747211895911,2,2,11,5,1
23,5,2,23,0.487950271352177,9.8,2.346938775510204,88.84758364312268,97.39776951672863,74.53531598513011,13,13,23,5,2
30,4,5,30,1.2612024051117234,15.285714285714286,1.9626168224299065,96.6542750929368,93.68029739776952,97.95539033457248,40,40,30,4,5
24,3,2,24,0.5188389126307487,14.0,1.7142857142857142,89.77695167286245,88.10408921933085,74.53531598513011,13,13,24,3,2
18,1,2,18,0.30022212489585853,11.5,1.565217391304348,83.08550185873605,55.20446096654275,74.53531598513011,8,8,18,1,2
29,2,2,29,0.7134529788325951,16.714285714285715,1.7350427350427349,92.56505576208178,76.2081784386617,74.53531598513011,16,16,29,2,2
19,2,0,19,0.0664572101410132,13.428571428571429,1.4148936170212765,84.94423791821562,76.2081784386617,20.63197026022305,11,11,19,2,0
15,3,3,15,0.39145582349188107,13.571428571428571,1.105263157894737,75.65055762081785,88.10408921933085,86.61710037174721,5,5,15,3,3
20,3,5,20,0.7325597616525562,15.2,1.3157894736842106,86.43122676579925,88.10408921933085,97.95539033457248,5,5,20,3,5
23,3,5,23,0.8254525642521214,12.8,1.796875,88.84758364312268,88.10408921933085,97.95539033457248,11,11,23,3,5
12,1,2,12,0.14775927288749566,9.125,1.3150684931506849,64.12639405204462,55.20446096654275,74.53531598513011,2,2,12,1,2
11,4,1,11,-0.0906929493962519,16.714285714285715,0.6581196581196581,61.152416356877325,93.68029739776952,53.71747211895911,3,3,11,4,1
13,2,0,13,-0.23824666423117144,16.714285714285715,0.7777777777777777,68.21561338289963,76.2081784386617,20.63197026022305,5,5,13,2,0
19,1,3,19,0.4293761928820839,10.571428571428571,1.7972972972972974,84.94423791821562,55.20446096654275,86.61710037174721,4,4,19,1,3
7,4,1,7,-0.12157389758737765,5.8,1.206896551724138,39.405204460966544,93.68029739776952,53.71747211895911,2,2,7,4,1
20,1,2,20,0.3414421521810047,9.375,2.1333333333333333,86.43122676579925,55.20446096654275,74.53531598513011,7,7,20,1,2
28,3,2,28,0.6594520262919016,11.428571428571429,2.4499999999999997,91.635687732342,88.10408921933085,74.53531598513011,14,14,28,3,2
28,1,2,28,0.679385177202669,13.571428571428571,2.0631578947368423,91.635687732342,55.20446096654275,74.53531598513011,16,16,28,1,2
13,3,3,13,0.39413912097239595,14.0,0.9285714285714286,68.21561338289963,88.10408921933085,86.61710037174721,5,5,13,3,3
13,3,3,13,0.38417254551701224,13.571428571428571,0.9578947368421052,68.21561338289963,88.10408921933085,86.61710037174721,4,4,13,3,3
12,3,2,12,0.16769242379826307,6.125,1.9591836734693877,64.12639405204462,88.10408921933085,74.53531598513011,4,4,12,3,2
27,3,4,27,0.7890059231756642,12.166666666666666,2.219178082191781,90.89219330855019,88.10408921933085,93.12267657992564,10,10,27,3,4
30,3,5,30,0.9921048678163636,22.0,1.3636363636363635,96.6542750929368,88.10408921933085,97.95539033457248,13,13,30,3,5
13,1,1,13,-0.017484827041265288,10.571428571428571,1.2297297297297298,68.21561338289963,55.20446096654275,53.71747211895911,6,6,13,1,1
30,1,4,30,0.9605597071303729,13.428571428571429,2.234042553191489,96.6542750929368,55.20446096654275,93.12267657992564,19,19,30,1,4
18,2,4,18,0.6146707450788856,10.6,1.6981132075471699,83.08550185873605,76.2081784386617,93.12267657992564,9,9,18,2,4
19,3,2,19,0.3050810068165991,6.8,2.794117647058824,84.94423791821562,88.10408921933085,74.53531598513011,6,6,19,3,2
