total_surveillance,total_surveillance,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,suspected_to_probable_ratio,probable_to_confirmed_ratio,hospitalization_rate,severity_score,kecamatan_encoded,kecamatan_avg_cfr,kecamatan_avg_recovery,year,month,data_completeness,data_consistency_flag,id_kel,nama_kecamatan,nama_kelurahan
32,32,0.9230769230769232,0.6666666666666666,0.0,0.0769230769230769,0.9230769230769232,2.1666666666666665,0.4615384615384615,0.5384615384615384,0.1615384615384615,17,0.086,0.169,2020,5,1.0,0,3173051006,KEBON JERUK,KEDOYA UTARA
67,67,0.9142857142857144,0.4285714285714285,0.2222222222222222,0.1666666666666666,0.6111111111111112,2.5,0.7777777777777778,0.2777777777777778,0.2388888888888888,19,0.118,0.047,2020,5,1.0,0,3171031002,KEMAYORAN,KEBON KOSONG
26,26,1.0,0.4285714285714285,0.0625,0.1875,0.75,0.4285714285714285,0.4375,0.375,0.15625,20,0.05,0.207,2020,5,1.0,0,3173081001,KEMBANGAN,KEMBANGAN UTARA
63,63,0.967741935483871,0.625,0.125,0.125,0.75,1.9375,1.0,0.3125,0.18125,13,0.134,0.136,2020,5,1.0,0,3171081001,JOHAR BARU,JOHAR BARU
63,63,0.9782608695652174,0.5,0.4285714285714285,0.1428571428571428,0.4285714285714285,4.6,1.4285714285714286,0.1428571428571428,0.3428571428571428,37,0.111,0.087,2020,5,1.0,0,3175021002,PULO GADUNG,PISANGAN TIMUR
37,37,0.9333333333333332,0.0,0.0,0.0,1.0,15.0,0.4,0.4,0.12,19,0.118,0.047,2020,5,1.0,0,3171031005,KEMAYORAN,GUNUNG SAHARI SELATAN
107,107,0.9361702127659576,0.5416666666666666,0.0555555555555555,0.0277777777777777,0.9166666666666666,1.9583333333333333,0.6666666666666666,0.3611111111111111,0.1472222222222222,43,0.07,0.082,2020,5,1.0,0,3171071005,TANAH ABANG,KEBON MELATI
28,28,0.9333333333333332,0.3333333333333333,0.0,0.2857142857142857,0.7142857142857143,2.5,0.8571428571428571,0.2857142857142857,0.0857142857142857,39,0.075,0.114,2020,5,1.0,0,3171041002,SENEN,KENARI
27,27,1.0,0.875,0.0,0.1666666666666666,0.8333333333333334,1.625,1.3333333333333333,0.5,0.15,30,0.072,0.109,2020,5,1.0,0,3172051003,PADEMANGAN,ANCOL
24,24,1.0,0.5714285714285714,0.125,0.125,0.75,1.2857142857142858,0.875,0.5,0.2375,20,0.05,0.207,2020,5,1.0,0,3173081003,KEMBANGAN,MERUYA SELATAN
47,47,1.0,0.5454545454545454,0.0,0.0833333333333333,0.9166666666666666,2.1818181818181817,0.9166666666666666,0.5833333333333334,0.175,44,0.122,0.056,2020,5,1.0,0,3172021005,TANJUNG PRIOK,KEBON BAWANG
