periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,year,month,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,total_surveillance,composite_risk_index,severity_score,hospitalization_rate,kecamatan_avg_positif,kecamatan_avg_cfr
202005,3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,2020,5,49,1,48,9,4,5,24,11,2,4,7,0.9795918367346939,0.5555555555555556,0.16666666666666666,0.08333333333333333,0.75,82,0.25764106463650555,0.25416666666666665,0.4583333333333333,11.714,0.143
202005,3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,2020,5,15,0,15,6,3,3,8,4,1,3,0,1.0,0.5,0.375,0.125,0.5,29,0.32650327358989656,0.4125,0.5,15.333,0.16
202005,3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,2020,5,17,0,17,6,4,2,14,5,2,3,4,1.0,0.3333333333333333,0.21428571428571427,0.14285714285714285,0.6428571428571429,37,0.22183377515524744,0.2571428571428571,0.35714285714285715,20.143,0.176
202005,3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,2020,5,20,2,18,12,4,8,13,6,2,1,4,0.9,0.6666666666666666,0.07692307692307693,0.15384615384615385,0.7692307692307693,45,0.16106214355964163,0.19230769230769232,0.46153846153846156,13.167,0.184
202005,3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,2020,5,15,3,12,9,1,8,7,4,1,0,2,0.8,0.8888888888888888,0.0,0.14285714285714285,0.8571428571428571,31,0.14536157591867588,0.1714285714285714,0.5714285714285714,5.8,0.043
202005,3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,2020,5,16,2,14,9,3,6,13,8,2,0,3,0.875,0.6666666666666666,0.0,0.15384615384615385,0.8461538461538461,38,0.1566325784539951,0.18461538461538463,0.6153846153846154,13.571,0.111
202005,3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,2020,5,17,0,17,13,4,9,15,6,4,1,4,1.0,0.6923076923076923,0.06666666666666667,0.26666666666666666,0.6666666666666666,45,0.13817627126200463,0.16666666666666666,0.4,11.5,0.06
202005,3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,2020,5,17,0,17,15,2,13,23,13,3,1,6,1.0,0.8666666666666667,0.043478260869565216,0.13043478260869565,0.8260869565217391,55,0.16006830003583034,0.19999999999999998,0.5652173913043478,15.2,0.279
202005,3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,2020,5,40,2,38,25,8,17,20,6,0,3,11,0.95,0.68,0.15,0.0,0.85,85,0.1648233204950652,0.195,0.3,20.571,0.122
202005,3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,2020,5,9,0,9,11,7,4,7,5,1,0,1,1.0,0.36363636363636365,0.0,0.14285714285714285,0.8571428571428571,27,0.16402558411231827,0.21428571428571427,0.7142857142857143,4.875,0.042
202005,3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,2020,5,7,0,7,6,2,4,8,3,2,1,2,1.0,0.6666666666666666,0.125,0.25,0.625,21,0.15817557314499378,0.19999999999999998,0.375,16.857,0.086
202005,3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,2020,5,8,0,8,8,0,8,6,1,2,1,2,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,22,0.13249267949145632,0.16666666666666666,0.16666666666666666,6.125,0.168
202005,3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,2020,5,9,1,8,4,0,4,10,3,0,4,3,0.8888888888888888,1.0,0.4,0.0,0.6,23,0.29275749825621944,0.37,0.3,20.143,0.176
202005,3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,2020,5,5,1,4,3,3,0,8,5,0,1,2,0.8,0.0,0.125,0.0,0.875,16,0.21743971461529565,0.275,0.625,9.375,0.11
202005,3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,2020,5,38,0,38,7,5,2,15,4,2,4,5,1.0,0.2857142857142857,0.26666666666666666,0.13333333333333333,0.6,60,0.2647406665020365,0.26666666666666666,0.26666666666666666,10.0,0.134
202005,3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,2020,5,3,0,3,4,1,3,8,2,1,3,2,1.0,0.75,0.375,0.125,0.5,15,0.24926639911850634,0.33749999999999997,0.25,12.8,0.219
202005,3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,2020,5,4,0,4,9,5,4,6,0,2,2,2,1.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,19,0.17193787461328883,0.2333333333333333,0.0,11.429,0.108
202005,3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2020,5,2,0,2,5,2,3,6,1,2,1,2,1.0,0.6,0.16666666666666666,0.3333333333333333,0.5,13,0.12387401649094078,0.16666666666666666,0.16666666666666666,12.8,0.219
202005,3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,2020,5,5,0,5,6,3,3,4,2,1,1,0,1.0,0.5,0.25,0.25,0.5,15,0.24155398081785273,0.32499999999999996,0.5,6.8,0.138
202005,3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,2020,5,16,0,16,12,5,7,5,1,0,3,1,1.0,0.5833333333333334,0.6,0.0,0.4,33,0.35886973819143286,0.48,0.2,15.2,0.279
202005,3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,2020,5,39,0,39,11,6,5,14,4,0,4,6,1.0,0.45454545454545453,0.2857142857142857,0.0,0.7142857142857143,64,0.25335278087863433,0.2857142857142857,0.2857142857142857,7.6,0.095
202005,3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,2020,5,17,2,15,14,6,8,9,5,3,0,1,0.8823529411764706,0.5714285714285714,0.0,0.3333333333333333,0.6666666666666666,40,0.1365871483496303,0.16666666666666666,0.5555555555555556,30.429,0.07
202005,3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,2020,5,10,0,10,6,1,5,13,8,2,1,2,1.0,0.8333333333333334,0.07692307692307693,0.15384615384615385,0.7692307692307693,29,0.19254148374575378,0.23846153846153847,0.6153846153846154,12.8,0.219
202005,3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,2020,5,7,0,7,6,2,4,12,9,2,0,1,1.0,0.6666666666666666,0.0,0.16666666666666666,0.8333333333333334,25,0.17609759330208566,0.22499999999999998,0.75,12.167,0.047
202005,3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,2020,5,19,0,19,4,1,3,13,3,2,1,7,1.0,0.75,0.07692307692307693,0.15384615384615385,0.7692307692307693,36,0.1526858133896942,0.12307692307692308,0.23076923076923078,10.6,0.144
